id,text,Hello,Done,Connect,Order,Changing,Return,Other,Inform,Request,ID_product,size_product,color_product,material_product,cost_product,amount_product,name_promotion,content_promotion,Id member,phone member,addr member,level member,benefit member,feedback,shiping fee,size customer,height customer,weight customer,addr store,phone store
380285,Khách 43: Mua cái này mà ko thấy ai gọi chốt,,,,,,,Khách 43: Mua cái này mà ko thấy ai gọi chốt,,,,,,,,,,,,,,,,,,,,,,
380286,"Khách 43: Mình có đơn hàng tuần trước mà chưa thấy ai gọi ak, thấy kêu tên mà ko thấy liên hệ",,,,,,,"Khách 43: Mình có đơn hàng tuần trước mà chưa thấy ai gọi ak, thấy kêu tên mà ko thấy liên hệ",,,,,,,,,,,,,,,,,,,,,,
380287,Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380288,Khách 43: Liên hệ tư vấn viên,,,Khách 43: Liên hệ tư vấn viên,,,,,,,,,,,,,,,,,,,,,,,,,,
380289,"Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380290,"Khách 43: Mình có đơn hàng tuần trước mà chưa thấy ai gọi ak, thấy kêu tên mà ko thấy liên hệ",,,,,,,"Khách 43: Mình có đơn hàng tuần trước mà chưa thấy ai gọi ak, thấy kêu tên mà ko thấy liên hệ",,,,,,,,,,,,,,,,,,,,,,
380291,Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380292,Khách 43: Liên hệ tư vấn viên,,,Khách 43: Liên hệ tư vấn viên,,,,,,,,,,,,,,,,,,,,,,,,,,
380293,"Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380294,Khách 43: Bữa minh có 1 đơn hàng mà ko thấy ai gọi chốt đơn,,,,,,,,,Khách 43: Bữa minh có 1 đơn hàng mà ko thấy ai gọi chốt đơn,,,,,,Khách 43: Bữa minh có 1 đơn hàng mà ko thấy ai gọi chốt đơn,,,,,,,,,,,,,,
380295,Chào anh/chị Thuc Vien !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380296,Chào mừng Bạn Thuc Vien!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380297,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380298,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380299,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380300,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251.730.9099
380301,Khách 43: Get Started,Khách 43: Get Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380302,onversation: Khách 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380303,Khách 44: Lúc nảy co nguoi gọi chôt đơn rôi c ơi. Mà e quên nói,,,,,,,Khách 44: Lúc nảy co nguoi gọi chôt đơn rôi c ơi. Mà e quên nói,,,,,,,,,,,,,,,,,,,,,,
380304,"Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380305,Khách 44: Quần mã k17. Còn không chị. Lấy e 1 cái size m. Đi đơn chung với set đồ luôn ạ,,,,Khách 44: Quần mã k17. Còn không chị. Lấy e 1 cái size m. Đi đơn chung với set đồ luôn ạ,,,,,,Quần mã k17,size m,,,,1 cái,,,,,,,,,,,,,,
380306,Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380307,Khách 44: Tối nay co like k c,,,,,,,Khách 44: Tối nay co like k c,,,,,,,,,,,,,,,,,,,,,,
380308,Khách 44: E nhận đc đồ rồi nha c... Hàng chất lượng. Chất vãi ok lắm nha c.,,,,,,,,,,,,,Chất vãi ,,,,,,,,,,Khách 44: E nhận đc đồ rồi nha c... Hàng chất lượng. Chất vãi ok lắm nha c.,,,,,,
380309,Khách 44: Khi nào bênh minh gui hàg cho e ạ,,,,,,,Khách 44: Khi nào bênh minh gui hàg cho e ạ,,,,,,,,,,,,,,,,,,,,,,
380310,e nhận dc r ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380311,Khách 44: E chuyển rồi nha c. Tranh thủ gửi giùm e ạ.,,,,,,,Khách 44: E chuyển rồi nha c. Tranh thủ gửi giùm e ạ.,,,,,,,,,,,,,,,,,,,,,,
380312,Khách 44: Dạ. Để xíu e chuyển lại nếu khôg sáng e chuyển chứ e mới chuyển ngần hàg nó đag bảo trì k chuyển đc ạ,,,,,,,Khách 44: Dạ. Để xíu e chuyển lại nếu khôg sáng e chuyển chứ e mới chuyển ngần hàg nó đag bảo trì k chuyển đc ạ,,,,,,,,,,,,,,,,,,,,,,
380313,735k ạ,,,,,,,,,,,,,,735k ,,,,,,,,,,,,,,,
380314,Khách 44: Đơn hàg của e bao nhieu ạ,,,,,,,,,Khách 44: Đơn hàg của e bao nhieu ạ,,,,,Khách 44: Đơn hàg của e bao nhieu ạ,,,,,,,,,,,,,,,
380315,Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Huỳnh Hoài Thu và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380316,Khách 44: Tổng đơn hàg của e bao nhiêu ạ. Lúc nảy chị nói e quên mất tieu rôi. C chị chụp hình lại gủi cho e với,,,,,,,,,Khách 44: Tổng đơn hàg của e bao nhiêu ạ. Lúc nảy chị nói e quên mất tieu rôi. C chị chụp hình lại gủi cho e với,,,,,Khách 44: Tổng đơn hàg của e bao nhiêu ạ. Lúc nảy chị nói e quên mất tieu rôi. C chị chụp hình lại gủi cho e với,,,,,,,,,,,,,,,
380317,1/ Mình đặt trên live được đọc tên thì mới có nhân viên gọi cho mình nhé chị yêu !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380318,lượng đơn hàng nhiều nên nhiều khi các bạn chưa gọi tới chị thông cảm đợi thêm giúp e nha ạ .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380319,đôi khi nhiều khách hàng tên giống nhau nên bị trùng tên ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380320,m phiền đợi thêm giúp e chút thời gian nếu vẫn chưa có bạn gọi chị gọi hotline 1900.633.973 giúp e nha chị Huỳnh Hoài Thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.633.973
380321, chị luôn xinh đẹp ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380322,Khách 44: Sao chưa ai gọi chốt đơn ?,,,,,,,Khách 44: Sao chưa ai gọi chốt đơn ?,,,,,,,,,,,,,,,,,,,,,,
380323,onversation: Khách 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380324,"Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380325,Khách 45: 1m50 nặng 46kg mặc size gì ạ,,,,,,,,,Khách 45: 1m50 nặng 46kg mặc size gì ạ,,size ,,,,,,,,,,,,,,,1m50 ,46kg ,,
380326,Khách 45: Mẩu này còn hok shop..,,,,,,,,,Khách 45: Mẩu này còn hok shop..,,,,,,Khách 45: Mẩu này còn hok shop..,,,,,,,,,,,,,,
380327,Dạ ! e chào chị Yu Ri ! Em cám ơn chị đã thương yêu và lựa chọn nhà em . Chị muốn đặt mẫu này chị giúp em gửi hình vào phần inbox kèm số điện thoại và địa chỉ cụ thể ! để các bạn hỗ trợ kiểm tra hàng . ( Nếu được thì mình inbox xong mình gọi hotline 1900.633.973 báo các bạn kiểm tra tin nhắn mình cho nhanh nhé ) Nếu còn hàng các bạn sẽ lên đơn cho mình nhé ! Em cám ơn chị nhiều ạ ! Chúc chị luôn xinh đẹp  .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.633.973
380328,Khách 45: Đặt hàng trên inbox ?,,,,,,,Khách 45: Đặt hàng trên inbox ?,,,,,,,,,,,,,,,,,,,,,,
380329,onversation: Khách 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380330,Khách 46: Ok ạ,,,,,,,Khách 46: Ok ạ,,,,,,,,,,,,,,,,,,,,,,
380331,"Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380332,Khách 46: Áo còn không c,,,,,,,,,Khách 46: Áo còn không c,,,,,,Khách 46: Áo còn không c,,,,,,,,,,,,,,
380333,onversation: Khách 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380334,1/ Mình đặt trên live được đọc tên thì mới có nhân viên gọi cho mình nhé chị yêu !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380335,lượng đơn hàng nhiều nên nhiều khi các bạn chưa gọi tới chị thông cảm đợi thêm giúp e nha ạ .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380336,đôi khi nhiều khách hàng tên giống nhau nên bị trùng tên ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380337,m phiền đợi thêm giúp e chút thời gian nếu vẫn chưa có bạn gọi chị gọi hotline 1900.633.973 giúp e nha chị Nhjen Nguyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.633.973
380338, chị luôn xinh đẹp ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380339,Khách 47: Sao chưa ai gọi chốt đơn ?,,,,,,,Khách 47: Sao chưa ai gọi chốt đơn ?,,,,,,,,,,,,,,,,,,,,,,
380340,onversation: Khách 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380341,Khách 48: Cảm ơn c,,,,,,,Khách 48: Cảm ơn c,,,,,,,,,,,,,,,,,,,,,,
380342,Khách 48: Em nhận đc rồi ạ,,,,,,,Khách 48: Em nhận đc rồi ạ,,,,,,,,,,,,,,,,,,,,,,
380343,"Dạ đơn hàng của chị đang vận chuyển ạ. Dạ vì những ngày gần tết thì số lượng hàng nhiều, nhu cầu mua sắm của mọi người cũng cao, nên sẽ vận chuyển sẽ lâu hơn bình thường. Nên mong chị thông cảm và vui lòng đợi giúp shop chị yêu nhé !",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380344,"Khách 48: Chị ơi,Đơn hàng em đi chưa ạ!",,,,,,,"Khách 48: Chị ơi,Đơn hàng em đi chưa ạ!",,,,,,,,,,,,,,,,,,,,,,
380345,Khách 48: Ok c,,,,,,,Khách 48: Ok c,,,,,,,,,,,,,,,,,,,,,,
380346,e nhận dc ck r ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380347,Khách 48: Bao lâu thì nhận đc hàng ạ,,,,,,,Khách 48: Bao lâu thì nhận đc hàng ạ,,,,,,,,,,,,,,,,,,,,,,
380348,Khách 48: Chị kiểm tra giúp em,,,,,,,Khách 48: Chị kiểm tra giúp em,,,,,,,,,,,,,,,,,,,,,,
380349,Khách 48: Em gửi ạ,,,,,,,Khách 48: Em gửi ạ,,,,,,,,,,,,,,,,,,,,,,
380350,Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Trinh Trinh và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380351,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/DoHoaiPhuong1613/videos/870860483454547/?comment_id=674037119929467),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380352,onversation: Khách 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380353,"Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380354,Khách 49: Dạ shop ơi. Mình còn mẫu này ko ạ,,,,,,,,,Khách 49: Dạ shop ơi. Mình còn mẫu này ko ạ,,,,,,Khách 49: Dạ shop ơi. Mình còn mẫu này ko ạ,,,,,,,,,,,,,,
380355,Khách 49: Dạ,,,,,,,Khách 49: Dạ,,,,,,,,,,,,,,,,,,,,,,
380356,check ib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380357,ắng 100k,,,,,,,,,,,,trắng ,,100k,,,,,,,,,,,,,,,
380358,Khách 49: Dạ,,,,,,,Khách 49: Dạ,,,,,,,,,,,,,,,,,,,,,,
380359,"Em chốt đơn hàng cho mình rồi chị nhé .Vì đơn hàng chốt qua tin nhắn nên bên e sẽ không gọi điện lại .Hàng chốt sẽ gói đi hàng liền nên chị tổng bill một lần giúp em .( Lưu ý bên em không ktra hàng trước khi nhận ,CÓ ĐƠN TRÊN LIVE c nhớ nhăc ạ , sau khi nhận hàng có vấn đề liên hệ hotline bên e để giải quyết ) Cám ơn chị ạ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380360,Khách 49: Địa chixxxxx Trường mn ánh sao - đường số 23- khu phố 2- hoà phú- thủ dầu một- bình dương,,,,,,,,Khách 49: Địa chixxxxx Trường mn ánh sao - đường số 23- khu phố 2- hoà phú- thủ dầu một- bình dương,,,,,,,,,,,,Trường mn ánh sao - đường số 23- khu phố 2- hoà phú- thủ dầu một- bình dương,,,,,,,,,
380361,Khách 49: Dạ gửi giúp e sét trắng,,,,Khách 49: Dạ gửi giúp e sét trắng,,,,,,,,trắng,,,,,,,,,,,,,,,,,
380362,em còn set trắng thôi ạ,,,,,,,,,,,,trắng ,,,,,,,,,,,,,,,,,
380363,"Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380364,Khách 49: Còn áo và sét gửi giúp e luôn ạ.,,,,Khách 49: Còn áo và sét gửi giúp e luôn ạ.,,,,,,,,,,,,,,,,,,,,,,,,,
380365, mn ánh sao - đường số 23- khu phố 2- hoà phú- thủ dầu một- bình dương,,,,,,,,,,,,,,,,,,,,Trường mn ánh sao - đường số 23- khu phố 2- hoà phú- thủ dầu một- bình dương,,,,,,,,,
380366,Dạ còn nha chị Nguyễn Hồng Ngọc  . Mình đặt hàng để lại SĐT và ĐỊA CHỈ để bên em lên đơn cho mình ạ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380367,ó hàng gửi giúp e địa chỉ cũ ạ. Tks shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380368,Khách 49: Dạ e muốn đặt sét này ạ. Nãy e xem live nhưng chốt ko kịp,,,,Khách 49: Dạ e muốn đặt sét này ạ. Nãy e xem live nhưng chốt ko kịp,,,,,,,,,,,Khách 49: Dạ e muốn đặt sét này ạ. Nãy e xem live nhưng chốt ko kịp,,,,,,,,,,,,,,
380369,Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380370,Dạ ! e chào chị Nguyễn Hồng Ngọc ! Em cám ơn chị đã thương yêu và lựa chọn nhà em . Chị muốn đặt mẫu này chị giúp em gửi hình vào phần inbox kèm số điện thoại và địa chỉ cụ thể ! để các bạn hỗ trợ kiểm tra hàng . ( Nếu được thì mình inbox xong mình gọi hotline 1900.633.973 báo các bạn kiểm tra tin nhắn mình cho nhanh nhé ) Nếu còn hàng các bạn sẽ lên đơn cho mình nhé ! Em cám ơn chị nhiều ạ ! Chúc chị luôn xinh đẹp  .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.633.973
380371,Khách 49: Đặt hàng trên inbox ?,,,,,,,Khách 49: Đặt hàng trên inbox ?,,,,,,,,,,,,,,,,,,,,,,
380372,onversation: Khách 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380373,"Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380374,Khách 50: đầm này bên shop còn size ko ạ,,,,,,,,,Khách 50: đầm này bên shop còn size ko ạ,,size ,,,,Khách 50: đầm này bên shop còn size ko ạ,,,,,,,,,,,,,,
380375,Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380376,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380377,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380378,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380379,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251.730.9099
380380,Khách 50: Liên hệ tư vấn viên,,,Khách 50: Liên hệ tư vấn viên,,,,,,,,,,,,,,,,,,,,,,,,,,
380381,Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380382,Khách 50: Liên hệ tư vấn viên,,,Khách 50: Liên hệ tư vấn viên,,,,,,,,,,,,,,,,,,,,,,,,,,
380383,"Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380384,Khách 50: vàng nhỏ,,,,,,,,Khách 50: vàng nhỏ,,,,vàng ,,,,,,,,,,,,,,,,,
380385,Chào anh/chị Yen Pham !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380386,Chào mừng Bạn Yen Pham!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380387,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380388,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380389,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380390,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251.730.9099
380391,Khách 50: Get Started,Khách 50: Get Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380392,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380393,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380394,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380395,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251.730.9099
380396,Khách 50: Này bao nhiêu bộ vậy shop,,,,,,,,,Khách 50: Này bao nhiêu bộ vậy shop,,,,,Khách 50: Này bao nhiêu bộ vậy shop,,,,,,,,,,,,,,,
380397,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380398,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380399,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380400,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0251.730.9099.
380401,ĐÃ CHỐT ĐƠN. sau khi hàng chốt là gói đi liền nên chị tổng bill một lần giúp em nhé ( lưu ý bên e k ktra hàng trước khi nhận và nếu c có đơn trên live nhớ nhắc e để tránh trùng đơn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380402,Khách 50: Địa chi: ấp phú lân xã song lộc huyện châu thành tỉnh trà vinh,,,,,,,,Khách 50: Địa chi: ấp phú lân xã song lộc huyện châu thành tỉnh trà vinh,,,,,,,,,,,,ấp phú lân xã song lộc huyện châu thành tỉnh trà vinh,,,,,,,,,
380403,Khách 50: Cho e đặt mua mẫu này nhe shop,,,,Khách 50: Cho e đặt mua mẫu này nhe shop,,,,,,,,,,,Khách 50: Cho e đặt mua mẫu này nhe shop,,,,,,,,,,,,,,
380404,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380405,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380406,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380407,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251.730.9099
380408,Khách 50: Mẫu này còn ko ạ,,,,,,,,,Khách 50: Mẫu này còn ko ạ,,,,,,Khách 50: Mẫu này còn ko ạ,,,,,,,,,,,,,,
380409,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380410,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380411,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380412,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251.730.9099
380413,onversation: Khách 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380414,Khách 51: Zay mai c nt lai shop sau,,,,,,,Khách 51: Zay mai c nt lai shop sau,,,,,,,,,,,,,,,,,,,,,,
380415,"Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380416,Khách 51: Va 2 kinh,,,,,,,Khách 51: Va 2 kinh,,,,,,,,,,,,,,,,,,,,,,
380417,Khách 51: 2 quan size M,,,,,,,,Khách 51: 2 quan size M,,,size M,,,,"2 quan,Khách 51: 2 quan size M",,,,,,,,,,,,,,
380418,Khách 51: Ship quần 2 sizeM va 1 áo,,,,Khách 51: Ship quần 2 sizeM va 1 áo,,,,,,,sizeM,,,,"1 áo,Khách 51: Ship quần 2 sizeM va 1 áo",,,,,,,,,,,,,,
