"id","text","Hello","Done","Connect","Order","Changing","Return","Other","Inform","Request","ID_product","size_product","color_product","material_product","cost_product","amount_product","name_promotion","content_promotion","Id member","phone member","level member","benefit member","feedback","shiping fee","size customer","height customer","weight customer","addr store","phone store","addr member"
"376898","Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376899","Khách 2: Gũi ch chai này nha","","","","Khách 2: Gũi ch chai này nha","","","","","","","","","","","","","","","","","","","","","","","","",""
"376900","Khách 2: 170 k ha e","","","","","","","","","Khách 2: 170 k ha e","","","","","170 k","","","","","","","","","","","","","","",""
"376901","dạ e còn đầm kem M,L c lấy size nào ạ","","","","","","","","","","","M,L,size","đầm kem","","","","","","","","","","","","","","","","",""
"376902","Khách 2: Do ch làm k xem live","","","","","","","Khách 2: Do ch làm k xem live","","","","","","","","","","","","","","","","","","","","","",""
"376903","Khách 2: Mới live nãy mà e","","","","","","","Khách 2: Mới live nãy mà e","","","","","","","","","","","","","","","","","","","","","",""
"376904","Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376905","Khách 2: Đầm màu kem","","","","","","","","Khách 2: Đầm màu kem","","","","Đầm màu kem","","","","","","","","","","","","","","","","",""
"376906","Khách 2: Đầm đen còn k e","","","","","","","","","Khách 2: Đầm đen còn k e","",""," Đầm đen","","","Khách 2: Đầm đen còn k e","","","","","","","","","","","","","",""
"376907","dạ còn size L ạ","","","","","","","","","","","size L","","","","","","","","","","","","","","","","","",""
"376908","Khách 2: Ao khoát còn k e","","","","","","","","","Khách 2: Ao khoát còn k e"," Ao khoát","","","","","Khách 2: Ao khoát còn k e","","","","","","","","","","","","","",""
"376909","khi nào hàng về chị Phương sẽ live chị đón xem và đặt hàng giúp shop nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376910","Khách 2: Gũi ch nha","","","","","","","Khách 2: Gũi ch nha","","","","","","","","","","","","","","","","","","","","","",""
"376911","Khách 2: Khi nào có lại j e","","","","","","","","","Khách 2: Khi nào có lại j e","","","","","","Khách 2: Khi nào có lại j e","","","","","","","","","","","","","",""
"376912","size S màu đen cũng tạm hết ạ","","","","","","","","","","","size S","màu đen ","","","","","","","","","","","","","","","","",""
"376913","Khách 2: Het m lấy s ch nha","","","","","","","","Khách 2: Het m lấy s ch nha","","","m,s","","","","","","","","","","","","","","","","","",""
"376914","Khách 2: Gũi ch sai s","","","","Khách 2: Gũi ch sai s","","","","","","","sai s","","","","","","","","","","","","","","","","","",""
"376915","dạ tạm hết size M màu đen rồi á chị","","","","","","","","","","","size M","màu đen","","","","","","","","","","","","","","","","",""
"376916","Khách 2: Gũi s nha","","","","Khách 2: Gũi s nha","","","","","","","s","","","","","","","","","","","","","","","","","",""
"376917","Khách 2: E","","","","","","","Khách 2: E","","","","","","","","","","","","","","","","","","","","","",""
"376918","Khách 2: S","","","","","","","Khách 2: S","","","","","","","","","","","","","","","","","","","","","",""
"376919","còn màu nâu và trắng thôi ạ","","","","","","","","","","","","màu nâu,trắng","","","","","","","","","","","","","","","","",""
"376920","dạ tạm hết rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376921","Khách 2: Ch thích quá","","","","","","","Khách 2: Ch thích quá","","","","","","","","","","","","","","","","","","","","","",""
"376922","Khách 2: E coi còn kỉ xem còn k","","","","","","","","","Khách 2: E coi còn kỉ xem còn k","","","","","","Khách 2: E coi còn kỉ xem còn k","","","","","","","","","","","","","",""
"376923","Khách 2: Tiec vay","","","","","","","Khách 2: Tiec vay","","","","","","","","","","","","","","","","","","","","","",""
"376924",":(((","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376925","dạ chị ơi quần bên shop tạm hết size M màu đen rồ ịa","","","","","","","","","","","size M","màu đen","","","","","","","","","","","","","","","","",""
"376926","Khách 2: Ok e","","","","","","","Khách 2: Ok e","","","","","","","","","","","","","","","","","","","","","",""
"376927","Em chốt đơn hàng cho mình rồi chị nhé .Vì đơn hàng chốt qua tin nhắn nên bên e sẽ không gọi điện lại .Hàng chốt sẽ gói đi hàng liền nên chị tổng bill một lần giúp em .( Lưu ý bên em không ktra hàng trước khi nhận ,CÓ ĐƠN TRÊN LIVE c nhớ nhăc ạ , sau khi nhận hàng có vấn đề liên hệ hotline bên e để giải quyết ) Cám ơn chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376928","vậy shop lấy quần đen size M cho chị nhed","","","","","","","","","","","size M"," quần đen","","","","","","","","","","","","","","","","",""
"376929","Khách 2: Gũi ch nhé","","","","","","","Khách 2: Gũi ch nhé","","","","","","","","","","","","","","","","","","","","","",""
"376930","Khách 2: Sai m e","","","","","","","","Khách 2: Sai m e","","","Sai m ","","","","","","","","","","","","","","","","","",""
"376931","Vì hàng bên em chị Phương có canh số đo ba vòng hết trên live, nhân viên bên em không tư vấn số kg cho mình được ạ .Mình chốt hàng vui lòng xem kĩ chắc chắn rồi đặt hàng giúp em nhé .( LƯU Ý bên em không đổi trả cho mình trường hợp mặc không vừa ạ )","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376932","Khách 2: 115 đúng k e","","","","","","","","","Khách 2: 115 đúng k e","","","","","115","","","","","","","","","","","","","","",""
"376933","Khách 2: Ch 47 kg","","","","","","","","Khách 2: Ch 47 kg","","","","","","","","","","","","","","","","","","47 kg","","",""
"376934","Khách 2: Sai phuog mặc á e","","","","","","","","Khách 2: Sai phuog mặc á e","","","Khách 2: Sai phuog mặc á e","","","","","","","","","","","","","","","","","",""
"376935","dạ chị muốn lấy size gì ạ chị yêu","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376936","Khách 2: Quần đen  phuog mặc á e","","","","","","","","Khách 2: Quần đen  phuog mặc á e","","","","Quần đen","","","","","","","","","","","","","","","","",""
"376937","Chị muốn lấy mẫu gì ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376938","Vậy shop đi đơn quần này cho chị nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376939","Khách 2: Alo","Khách 2: Alo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376940","Khách 2: Có j trả lou jup ch nhé","","","","","","","Khách 2: Có j trả lou jup ch nhé","","","","","","","","","","","","","","","","","","","","","",""
"376941","g 2/4 Vĩnh hải nhtrang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4a duog 2/4 Vĩnh hải nhtrang"
"376942","Khách 2: E oi quần đen còn k gũi ch nha","","","","","","","","","Khách 2: E oi quần đen còn k gũi ch nha","","","quần đen ","","","Khách 2: E oi quần đen còn k gũi ch nha","","","","","","","","","","","","","",""
"376943","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376944","Khách 2: Alo","Khách 2: Alo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376945","Khách 2: Mình đặt đầm mà k thay gọi","","","Khách 2: Mình đặt đầm mà k thay gọi","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376946","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376947","Chào mừng Bạn Ngân Võ!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376948","Khách 2: Get Started","","","Khách 2: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376949","Khách 2: Đầm đen còn k e","","","","","","","","","Khách 2: Đầm đen còn k e","",""," Đầm đen ","","","Khách 2: Đầm đen còn k e","","","","","","","","","","","","","",""
"376950","Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376951","Khách 2: Liên hệ tư vấn viên","","","Khách 2: Liên hệ tư vấn viên","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376952","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376953","Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376954","Khách 2: Liên hệ tư vấn viên","","","Khách 2: Liên hệ tư vấn viên","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376955","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376956","Khách 2: Mẫu này còn ke","","","","","","","","","Khách 2: Mẫu này còn ke","","","","","","Khách 2: Mẫu này còn ke","","","","","","","","","","","","","",""
"376957","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376958","Chào mừng Bạn Ngân Võ!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376959","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376960","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376961","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376962","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099.",""
"376963","Khách 2: Get Started","","","Khách 2: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376964","dạ mẫu này bên shop tạm hết ạ ..","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376965","Khách 2: Đầm bbr voi sét đen","","","","","","","","Khách 2: Đầm bbr voi sét đen",""," Đầm bbr","","sét đen","","","","","","","","","","","","","","","","",""
"376966","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376967","Khách 2: Mấy mẫu này còn k shop","","","","","","","","","Khách 2: Mấy mẫu này còn k shop","","","","","","Khách 2: Mấy mẫu này còn k shop","","","","","","","","","","","","","",""
"376968","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376969","Chào mừng Bạn Ngân Võ!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376970","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376971","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376972","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376973","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099.",""
"376974","Khách 2: Get Started","","","Khách 2: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376975","Khách 2: Alo","Khách 2: Alo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376976","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376977","Khách 2: E gũi ch đầm này nha","","","","Khách 2: E gũi ch đầm này nha","","","","","","","","","","","","","","","","","","","","","","","","",""
"376978","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376979","Chào mừng Bạn Ngân Võ!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376980","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376981","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376982","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376983","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376984","Khách 2: Get Started","","","Khách 2: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376985","Khách 2: E gũi giúp ch nha","","","","Khách 2: E gũi giúp ch nha","","","","","","","","","","","","","","","","","","","","","","","","",""
"376986","Khách 2: Dt chi Sài hồi h có đổi đâu","","","","","","","Khách 2: Dt chi Sài hồi h có đổi đâu","","","","","","","","","","","","","","","","","","","","","",""
"376987","Khách 2: E có nhầm ai k","","","","","","","Khách 2: E có nhầm ai k","","","","","","","","","","","","","","","","","","","","","",""
"376988","Khách 2: Ch cug mua ben e nhiu roi mà","","","","","","","Khách 2: Ch cug mua ben e nhiu roi mà","","","","","","","","","","","","","","","","","","","","","",""
"376989","Khách 2: H ch đặt 2 mẫu này gũi jup ch","","","","Khách 2: H ch đặt 2 mẫu này gũi jup ch","","","","","","","","","","","2 mẫu","","","","","","","","","","","","","",""
"376990","Khách 2: Thi lâu roi mà e","","","","","","","Khách 2: Thi lâu roi mà e","","","","","","","","","","","","","","","","","","","","","",""
"376991","Khách 2: Ùa sao j","","","","","","","Khách 2: Ùa sao j","","","","","","","","","","","","","","","","","","","","","",""
"376992","Khách 2: K e","","","","","","","Khách 2: K e","","","","","","","","","","","","","","","","","","","","","",""
"376993","em xin phép ko đi đơn này cho mình c nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376994","c có đặt hàng bên shop nhưng khi gọi chốt c báo c đặt chỗ khác rồi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376995","c mới đổi sdt à c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376996","Em chốt đơn hàng cho mình rồi chị nhé .Vì đơn hàng chốt qua tin nhắn nên bên e sẽ không gọi điện lại .Hàng chốt sẽ gói đi hàng liền nên chị tổng bill một lần giúp em .( Lưu ý bên em không ktra hàng trước khi nhận ,CÓ ĐƠN TRÊN LIVE c nhớ nhăc ạ , sau khi nhận hàng có vấn đề liên hệ hotline bên e để giải quyết )","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376997"," chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376998","dạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376999","Khách 2: Sét 130 hả e","","","","","","","","","Khách 2: Sét 130 hả e","","","","","130","","","","","","","","","","","","","","",""
"377000","Khách 2: Sét voi váy lun e","","","","","","","Khách 2: Sét voi váy lun e","","","","","","","","","","","","","","","","","","","","","",""
"377001","váy hồng và set trắng à c","","","","","","","","","","","","váy hồng,set trắng","","","","","","","","","","","","","","","","",""
"377002","Khách 2: Gũi ch nha","","","","","","","Khách 2: Gũi ch nha","","","","","","","","","","","","","","","","","","","","","",""
"377003","Khách 2: 4a duog 2/4 Vĩnh hai nha trag","","","","","","","","Khách 2: 4a duog 2/4 Vĩnh hai nha trag","","","","","","","","","","","","","","","","","","","","","4a duog 2/4 Vĩnh hai nha trag"
"377004","Khách 2: Ch nt ah","","","","","","","Khách 2: Ch nt ah","","","","","","","","","","","","","","","","","","","","","",""
"377005","Khách 2: K e","","","","","","","Khách 2: K e","","","","","","","","","","","","","","","","","","","","","",""
"377006","Mình có đơn trên live không chị ơi . Trường hợp mình được đọc tên  trên live không chốt trong tin nhắn giúp e nhé chị để tránh trường hợp bị trùng bill ạ .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377007","Khách 2: Alo e","Khách 2: Alo e","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377008","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377009","Khách 2: 2 mẫu này còn k e gũi ch nha,xxxxx","","","","","","","","","Khách 2: 2 mẫu này còn k e gũi ch nha,xxxxx","","","","","","2 mẫu,Khách 2: 2 mẫu này còn k e gũi ch nha,xxxxx","","","","","","","","","","","","","",""
"377010","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377011","Chào mừng Bạn Ngân Võ!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377012","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377013","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377014","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377015","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377016","Khách 2: Get Started","","","Khách 2: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377017","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377018","Khách 2: Ok e","","Khách 2: Ok e","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377019","Dạ chị mẫu này bên shop tạm hết ạ.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377020","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377021","Khách 2: Em oi gũi này cho ch ik","","","","Khách 2: Em oi gũi này cho ch ik","","","","","","","","","","","","","","","","","","","","","","","","",""
"377022","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377023","Chào mừng Bạn Ngân Võ!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377024","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377025","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377026","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377027","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377028","Khách 2: Get Started","","","Khách 2: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377029","Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377030","Khách 2: Body xah bnhiu shop","","","","","","","","","Khách 2: Body xah bnhiu shop","","","Body xah","","Khách 2: Body xah bnhiu shop","","","","","","","","","","","","","","",""
"377031","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377032","Chào mừng Bạn Ngân Võ!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377033","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377034","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377035","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377036","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377037","Khách 2: Get Started","","","Khách 2: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377038","Em chốt đơn hàng cho mình rồi chị nhé .Vì đơn hàng chốt qua tin nhắn nên bên e sẽ không gọi điện lại .Hàng chốt sẽ gói đi hàng liền nên chị tổng bill một lần giúp em .( Lưu ý bên em không ktra hàng trước khi nhận ,CÓ ĐƠN TRÊN LIVE c nhớ nhăc ạ , sau khi nhận hàng có vấn đề liên hệ hotline bên e để giải quyết )","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377039"," chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377040","Khách 2: 4a duog 2/4 vinh hai nhtrag","","","","","","","","Khách 2: 4a duog 2/4 vinh hai nhtrag","","","","","","","","","","","","","","","","","","","","","4a duog 2/4 vinh hai nhtrag"
"377041","Dạ còn chị .Mình đặt hàng để lại SĐT và ĐỊA CHỈ để bên em lên đơn cho mình ạ .","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377042","Khách 2: Cho ch màu trắng","","","","Khách 2: Cho ch màu trắng","","","","","","","","màu trắng","","","","","","","","","","","","","","","","",""
"377043","Chào anh/chị Ngân Võ !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377044","Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377045","Khách 2: Bắt đầu","","","Khách 2: Bắt đầu","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377046","Khách 2: Ok e","","","","","","","Khách 2: Ok e","","","","","","","","","","","","","","","","","","","","","",""
