"id","text","Hello","Done","Connect","Order","Changing","Return","Other","Inform","Request","ID_product","size_product","color_product","material_product","cost_product","amount_product","name_promotion","content_promotion","Id member","phone member","addr member","level member","benefit member","feedback","shiping fee","size customer","height customer","weight customer","addr store","phone store"
"387059","Shop: Đơn hàng mình gửi về shop ĐỖ HOÀI PHƯƠNG Đ/c :67/4 đường 30/4 kp2 phường trung dũng tp Biên Hòa Đồng Nai Sdt:xxxxx Ghi chú giúp em là hàng lỗi bên dưới cục hàng, kèm theo tờ bill tiền ngoài cục hàng  và để đầy đủ thông tin giúp e ạ: tên facebook đặt hàng & sđt đặt hàng. Phí SHIP hàng lỗi bên e sẽ chịu (trường hợp bên giao hàng bắt trả trước thì để thu hộ tiền ship giúp e nhé ) .LUU Ý MÌNH KHÔNG GUI BÊN GIAO HÀNG NHANH GIÚP E VÌ PHÍ RẤT CAO và KHÔNG THU COD giá trị hàng. Sau khi nhận được hàng c gửi về bên e sẽ gọi lại và giải quyết cho c luôn ạ!","","","","","","","","","","","","","","","","","","","","","","","","","","","","67/4 đường 30/4 kp2 phường trung dũng tp Biên Hòa Đồng Nai","xxxxx "
"387060","Cám ơn anh/chị đã tin tưởng và ủng hộ shop! Chúng em đang làm việc chăm chỉ để mang đến cho anh/chị dịch vụ tốt hơn. Hotline: 0251.730.9099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099"
"387061","Khách 145: E ơi, bộ nhầm size của c đây giờ c gửi lại cho bên e hay sao","","","","","Khách 145: E ơi, bộ nhầm size của c đây giờ c gửi lại cho bên e hay sao","","","","","","size","","","","","","","","","","","","","","","","","",""
"387062","Khách 145: Với hôm đó c có chốt mã 8, gọi điện chốt đơn cho c có mã 8 luôn, nhưng đơn nhận lại k có ấy e","","","","","","","Khách 145: Với hôm đó c có chốt mã 8, gọi điện chốt đơn cho c có mã 8 luôn, nhưng đơn nhận lại k có ấy e","","","mã 8|/|mã 8","","","","","","","","","","","","","","","","","","",""
"387063","Khách 145: C chốt size m nhưng gửi cho c size L","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387064","Shop: Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387065","Khách 145: Sđtxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387066","Shop: Tường Vi vui lòng chụp màn hình mẫu muốn đặt kèm thông tin giúp em nhé ( địa chỉ + điện thoại ) để tiện cho việc chốt hàng  hoặc có thể liên hệ hotline : 0251.730.9099 ấn phím 1 để Đỗ Hoài Phương Boutique hỗ trợ nhanh nhất nhé . thanks Tường Vi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387067","Khách 145: Đặt Hàng","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387068","Shop: Chào anh/chị Tường Vi !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387069","Shop: Chào mừng Bạn Tường Vi!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387070","Shop: Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387071","Nếu chốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387072","Khách vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387073","Call 0251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099"
"387074","Khách 145: Get Started","Khách 145: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387075","**** Conversation: Khách 146","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387076","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387077","Khách 146: Live nay có mua nữa á bạn","","","","","","","Khách 146: Live nay có mua nữa á bạn","","","","","","","","","","","","","","","","","","","","","",""
"387078","Shop: Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Ngọc Nhung và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387079","Khách 146: Ok chuyển cho số tk nào bạn","","","","","","","Khách 146: Ok chuyển cho số tk nào bạn","","","","","","","","","","","","","","","","","","","","","",""
"387080","Shop: tổng đơn là 897k ạ","","","","","","","","","","","","","","897k","","","","","","","","","","","","","","",""
"387081","Khách 146: Bạn tổng hợp bill dùm mình","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387082","Shop: Dạ sẽ có bạn gọi lại chốt đơn cho chị yêu ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387083","Khách 146: Chị ơi, hồi trưa có điện cho e chốt đơn. Mà e ko nghe. Nhờ chị check lại dùm e. Set len kem 239k nha chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387084","Khách 146: Ok shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387085","Shop: Tổng bill và stk đây nha chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387086","Khách 146: Hôm qua e đặt 5 cái trên live mà","","","","","","","","","Khách 146: Hôm qua e đặt 5 cái trên live mà","","","","","","5 cái","","","","","","","","","","","","","",""
"387087","Khách 146: Thấy chưa chị","","","","","","","Khách 146: Thấy chưa chị","","","","","","","","","","","","","","","","","","","","","",""
"387088","Shop: đầm hoa xanh này em hết ạ","","","","","","","","","","đầm hoa",""," xanh","","","","","","","","","","","","","","","","",""
"387089","Khách 146: Cho e số tài khoản, e chuyển","","","","","","","Khách 146: Cho e số tài khoản, e chuyển","","","","","","","","","","","","","","","","","","","","","",""
"387090","Khách 146: Người Nhận: Ngọc Nhung","","","","","","","","Khách 146: Người Nhận: Ngọc Nhung","","","","","","","","","","Người Nhận: Ngọc Nhung","","","","","","","","","","",""
"387091","Đc: 436 A Nguyễn Thị Thập, P6, TP Mỹ Tho, Tiền Giang","","","","","","","","","","","","","","","","","","","","436 A Nguyễn Thị Thập, P6, TP Mỹ Tho, Tiền Giang","","","","","","","","",""
"387092","Số ĐT:xxxxx","","","","","","","","","","","","","","","","","","","xxxxx","","","","","","","","","",""
"387093","Khách 146: Chị ơi, e đặt 5 cái đầm này","","","","Khách 146: Chị ơi, e đặt 5 cái đầm này","","","","","","","","","",""," 5 cái đầm","","","","","","","","","","","","","",""
"387094","Shop: Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387095","Nếu chốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387096","Khách vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387097","Call 0251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387098","Khách 146: Người Nhận: Ngọc Nhung","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387099","Đc: 436 A Nguyễn Thị Thập, P6, TP Mỹ Tho, Tiền Giang","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387100","Số ĐT:xxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387101","Shop: Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387102","Nếu chốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387103","Khách vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387104","Call 0251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099"
"387105","Khách 146: Check lại dùm e 2 mẫu này nha chị. E vẫn chưa thấy ai gọi e chốt đơn","","","","","","","","","Khách 146: Check lại dùm e 2 mẫu này nha chị. E vẫn chưa thấy ai gọi e chốt đơn","","","","","","2 mẫu","","","","","","","","Khách 146: Check lại dùm e 2 mẫu này nha chị. E vẫn chưa thấy ai gọi e chốt đơn","","","","","",""
"387106","**** Conversation: Khách 147","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387107","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387108","Khách 147: Gửi bill số tiền dùm c?","","","","","","","","","Khách 147: Gửi bill số tiền dùm c?","","","","","Khách 147: Gửi bill số tiền dùm c?","","","","","","","","","","","","","","",""
"387109","Shop: Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Vanessa Le và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387110","Khách 147: Gọi lại chốt đơn dùm mình nhé","","","Khách 147: Gọi lại chốt đơn dùm mình nhé","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387111","Khách 147: Shop ơi","Khách 147: Shop ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387112","Khách 147: Ok","","","","","","","Khách 147: Ok","","","","","","","","","","","","","","","","","","","","","",""
"387113","Shop: Dạ mẫu này tạm hết ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387114","Shop: Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387115","Khách 147: Hộp đơn lun dùm c nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387116","Khách 147: Áo khoác Hồng này còn ko?","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387117","Khách 147: Alo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387118","Khách 147: Thanks","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387119","Khách 147: 53 Nguyễn Văn Luông, P10, Q6, TpHCM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387120","Khách 147: Đầm trắng trên còn hàng bỏ vô đơn gửi dùm chị lun nhé","","","","","","","","","Khách 147: Đầm trắng trên còn hàng bỏ vô đơn gửi dùm chị lun nhé","","","trắng","","","Khách 147: Đầm trắng trên còn hàng bỏ vô đơn gửi dùm chị lun nhé","","","","","","","","","","","","","",""
"387121","Khách 147: Chị mới dc chốt đơn cái quần tây đen 115k","","","","Khách 147: Chị mới dc chốt đơn cái quần tây đen 115k","","","","","","quần tây","","đen","","115k","","","","","","","","","","","","","","",""
"387122","Shop: Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387123","Nếu chốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387124","Khách vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387125","Call 0251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099"
"387126","Khách 147: Alo","Khách 147: Alo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387127","Khách 147: Get Started","Khách 147: Get Started","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387128","**** Conversation: Khách 148","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387129","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387130","Khách 148: C đã ck xong, e ktra giúp c nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387131","Shop: Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Khương Thảo Thảo và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387132","Khách 148: Ok e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387133","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387134","Khách 148: C đã chuyển khoản xong, e kiểm tra giúp c nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387135","Shop: Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Khương Thảo Thảo và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387136","Shop: Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/DoHoaiPhuong1613/videos/148522593527991/?comment_id=739596896673889)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387137","Khách 148: Của Khương Thảo Thảo. Sđt:xxxxx","","","","","","","","Khách 148: Của Khương Thảo Thảo. Sđt:xxxxx","","","","","","","","","","hương Thảo Thảo","xxxxx","","","","","","","","","",""
"387138","Khách 148: Mình vừa chuyển khoản thanh toán đơn ngày 06/01","","","","","","","Khách 148: Mình vừa chuyển khoản thanh toán đơn ngày 06/01","","","","","","","","","","","","","","","","","","","","","",""
"387139","Shop: Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387140","Nếu chốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387141","Khách vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387142","Call 0251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099"
"387143","Khách 148: Chào shop","Khách 148: Chào shop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387144","**** Conversation: Khách 149","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387145","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387146","Shop: dạ tạm hết cơm cháy rùi chị yêu ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387147","Khách 149: Cho c hỏi com cháy có ko bán cho c 4 hủ di","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387148","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387149","Shop: Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Kim Chi và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387150","Khách 149: Báo dùm c số tiền luôn","","","","","","","","","Khách 149: Báo dùm c số tiền luôn","","","","","Khách 149: Báo dùm c số tiền luôn","","","","","","","","","","","","","","",""
"387151","**** Conversation: Khách 150","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387152","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387153","Khách 150: Giữ hàng dồn cho chị nha","","","","","","","Khách 150: Giữ hàng dồn cho chị nha","","","","","","","","","","","","","","","","","","","","","",""
"387154","Shop: 178k là set mask nha c","","","","","","","","",""," set mask","","","","178k","","","","","","","","","","","","","","",""
"387155","Shop: e nhận dc ck r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387156","Khách 150: Nhớ freeship chị nha","","","","","","","","","Khách 150: Nhớ freeship chị nha","","","","","","","","","","","","","",""," freeship","","","","",""
"387157","Khách 150: Khô gà chị ăn thấy ngon quá nên  lấy về bán , cưng lựa hủ nguyên và gói kĩ dùm chị nha","","","","Khách 150: Khô gà chị ăn thấy ngon quá nên  lấy về bán , cưng lựa hủ nguyên và gói kĩ dùm chị nha","","","","","","Khô gà","","","","","","","","","","","","","ngon","","","","","",""
"387158","Shop: e nhận dc ck r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387159","Khách 150: Gửi hàng cho chị luôn và nhớ freeship chị nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387160","Shop: E NHẬN DC CK R Ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387161","Khách 150: Mẫu áo 08 này nếu còn chốt chị màu xám nha , hết xám lấy vàng cũng được","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387162","Khách 150: Dồn hàng cho chị nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387163","Khách 150: Tài khoản ko đủ để ck","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387164","Shop: DẠ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387165","Khách 150: Giao hàng cod cho chị nha","","","","","","","Khách 150: Giao hàng cod cho chị nha","","","","","","","","","","","","","","","","","cod","","","","",""
"387166","Khách 150: À e","","","","","","","Khách 150: À e","","","","","","","","","","","","","","","","","","","","","",""
"387167","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387168","Khách 150: Freeship cho chị","","","","","","","Khách 150: Freeship cho chị","","","","","","","","","","","","","","","",""," Freeship","","","","",""
"387169","Khách 150: Gửi hàng đi cho chị luôn phần ck trước nha","","","","","","","Khách 150: Gửi hàng đi cho chị luôn phần ck trước nha","","","","","","","","","","","","","","","","","","","","","",""
"387170","Khách 150: Gọi chốt đơn mà bị thiếu mẫu 2 ngày 15 và 16 keu chị chụp mẫu gửi qua","","","","","","","","Khách 150: Gọi chốt đơn mà bị thiếu mẫu 2 ngày 15 và 16 keu chị chụp mẫu gửi qua","","mẫu 2","","","","","","","","","","","",""," bị thiếu","","","","","",""
"387171","Shop: dạ có bạn gọi chốt đơn cho chị chưa ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387172","Khách 150: Cho chị câu trả lời với  e nha","","","","","","","Khách 150: Cho chị câu trả lời với  e nha","","","","","","","","","","","","","","","","","","","","","",""
"387173","Khách 150: Này thiếu tận 6món mà 2 ngày liên tiếp ko gọi chốt đơn","","","","","","","","Khách 150: Này thiếu tận 6món mà 2 ngày liên tiếp ko gọi chốt đơn","","","","","","","6món","","","","","","","","thiếu","","","","","",""
"387174","Khách 150: Nếu thiếu hoặc sót đơn thì thiếu 1 hoặc 2 món thôi chứ","","","","","","","","Khách 150: Nếu thiếu hoặc sót đơn thì thiếu 1 hoặc 2 món thôi chứ","","","","","","","","","","","","","","","Nếu thiếu hoặc sót đơn thì thiếu 1 hoặc 2 món thôi chứ","","","","","",""
"387175","Khách 150: Đồng hồ có đọc tên","","","","","","","Khách 150: Đồng hồ có đọc tên","","","Đồng hồ ","","","","","","","","","","","","","","","","","","",""
"387176","Khách 150: Set len xám có đọc tên","","","","","","","Khách 150: Set len xám có đọc tên","","","Set len","","xám","","","","","","","","","","","","","","","","",""
"387177","Khách 150: Túi fendi có đọc tên","","","","","","","Khách 150: Túi fendi có đọc tên","","","Túi fendi","","","","","","","","","","","","","","","","","","",""
"387178","Khách 150: Áo len 2 màu đỏ và xanh có đọc tên","","","","","","","Khách 150: Áo len 2 màu đỏ và xanh có đọc tên","","","Áo len ","","xanh|/|màu đỏ","","","2","","","","","","","","","","","","","",""
"387179","Khách 150: Áo len vàng, có đọc tên","","","","","","","Khách 150: Áo len vàng, có đọc tên","","","Áo len ","","vàng","","","","","","","","","","","","","","","","",""
"387180","Khách 150: Váy da đỏ s , có đọc tên","","","","","","","Khách 150: Váy da đỏ s , có đọc tên","","","Váy da","","đỏ ","","","","","","","","","","","","","","","","",""
"387181","Shop: e nhận dc ck r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387182","Khách 150: Giữ hàng cho chị nha , dồn đủ chuyến rồi gửi nhé","","","","","","","Khách 150: Giữ hàng cho chị nha , dồn đủ chuyến rồi gửi nhé","","","","","","","","","","","","","","","","","","","","","",""
"387183","Shop: c ck giúp e 155k nha","","","","","","","","","","","","","","155k","","","","","","","","","","","","","","",""
"387184","Khách 150: Đi hàng cho chị luôn nha","","","","","","","Khách 150: Đi hàng cho chị luôn nha","","","","","","","","","","","","","","","","","","","","","",""
"387185","Shop: Dạ shop nhận được rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387186","Khách 150: Gửi hàng đi và freeship chị nhé","","","","","","","","","Khách 150: Gửi hàng đi và freeship chị nhé","","","","","","","","","","","","","","","freeship","","","","",""
"387187","Shop: Mình chuyển khoản lại giúp shop672k chị yêu h=nhé","","","","","","","","","","","","","","672k","","","","","","","","","","","","","","",""
"387188","Shop: Dạ nước hoa 149k ạ","","","","","","","","","","nước hoa","","","","149k","","","","","","","","","","","","","","",""
"387189","Khách 150: Mã 15 là 149k mà e?","","","","","","","","","Khách 150: Mã 15 là 149k mà e?"," Mã 15","","",""," 149k","","","","","","","","","","","","","","",""
"387190","Shop: Mình vui lòng ck giúp shop 434 ạ","","","","","","","","","","","","","","434","","","","","","","","","","","","","","",""
"387191","Shop: Đây mới là bill của chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387192","Shop: Dạ shop gửi nhầm bill ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387193","Shop: Chị chuyển khoản vui lòng để nội dung là tên facebook đặt hàng Huế Ngọc và gửi giúp em màn hình giao dịch để bên em check cho chị nhanh hơn nhé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387194","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387195","Khách 150: Mua biết bao nhiêu rồi mà chưa được tặng quà gì bao giờ","","","","","","","Khách 150: Mua biết bao nhiêu rồi mà chưa được tặng quà gì bao giờ","","","","","","","","","","","","","","","","","","","","","",""
"387196","Khách 150: Thôi cũng ko đáng bao nhiêu","","","","","","","Khách 150: Thôi cũng ko đáng bao nhiêu","","","","","","","","","","","","","","","","","","","","","",""
"387197","Khách 150: Qua chị cm quá trời mà ko nghe đọc","","","","","","","Khách 150: Qua chị cm quá trời mà ko nghe đọc","","","","","","","","","","","","","","","","","","","","","",""
"387198","Shop: dạ có cmt dc đọc tên mới có quà ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387199","Khách 150: Chị nghe nói có đơn là sẽ có kèm  quà tặng ?_","","","","","","","","","Khách 150: Chị nghe nói có đơn là sẽ có kèm  quà tặng ?_","","","","","","","","kèm  quà tặng","","","","","","","","","","","",""
"387200","Khách 150: Có tặng chị máy rửa mặt ko e?","","","","","","","","","Khách 150: Có tặng chị máy rửa mặt ko e?","","","","","","","","tặng chị máy rửa mặt","","","","","","","","","","","",""
"387201","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387202","Khách 150: Chị chuyển khoản thêm ah, nếu còn chốt chị nha","","","","","","","","","Khách 150: Chị chuyển khoản thêm ah, nếu còn chốt chị nha","","","","","","Khách 150: Chị chuyển khoản thêm ah, nếu còn chốt chị nha","","","","","","","","","","","","","",""
